id,code,platform,total,average,std_deviation,ucl,date,second_notify,valid
733,10103,1.0,1030,303,253,933.89,4/4/2019 13:00,no,no
734,9204,1.0,84,12,25,73.78,4/4/2019 16:00,no,no
735,7214,0.0,84,32,16,73.44,4/4/2019 17:00,no,no
736,1986,1.0,301,67,59,214.37,4/4/2019 19:00,no,no
738,7214,0.0,53,20,11,48.54,4/4/2019 19:00,no,no
740,9210,1.0,74,7,25,69.15,4/4/2019 20:00,no,no
742,1247,1.0,87,5,29,78.35,5/4/2019 8:00,no,no
743,2119,0.0,327,176,56,316.12,5/4/2019 9:00,no,no
744,7214,1.0,55,3,15,40.17,5/4/2019 9:00,no,no
745,1224,0.0,301,153,59,300.56,5/4/2019 14:37,no,no
746,1225,1.0,74,14,14,48.7,5/4/2019 14:37,no,no
747,7214,0.0,94,24,18,67.41,5/4/2019 14:37,no,no
748,10103,0.0,60,13,12,42.97,5/4/2019 14:37,no,no
750,7214,1.0,98,8,26,71.98,6/4/2019 10:00,no,no
755,6106,0.0,72,38,14,71.94,7/4/2019 16:00,no,no
762,2115,1.0,61,5,9,26.88,7/4/2019 19:00,no,no
763,5387,1.0,154,32,25,93.98,7/4/2019 19:00,no,no
764,8126,0.0,125,22,27,90.64,7/4/2019 19:00,no,no
767,1224,0.0,331,162,63,319.94,7/4/2019 21:00,no,no
768,2115,1.0,96,8,34,93.44,7/4/2019 21:00,no,no
769,7214,1.0,153,18,45,131.51,7/4/2019 21:00,no,no
770,8126,1.0,251,83,55,221.53,7/4/2019 21:00,no,no
777,1356,1.0,281,165,49,268.37,8/4/2019 16:31,no,no
791,5394,0.0,180,102,28,164.54,8/4/2019 20:56,no,no
792,1139,1.0,244,181,29,239.7,8/4/2019 20:56,no,no
793,1245,1.0,223,118,40,210.7,8/4/2019 20:56,no,no
794,1356,1.0,218,90,32,176.61,8/4/2019 20:56,no,no
795,5384,1.0,545,309,100,509.98,8/4/2019 20:56,no,no
796,10105,1.0,321,179,60,304.95,8/4/2019 20:56,no,no
844,1356,1.0,334,170,60,302.89,9/4/2019 20:00,no,no
850,1225,0.0,205,106,40,193.23,9/4/2019 21:00,no,no
851,2051,0.0,142,55,20,126.36,9/4/2019 21:00,no,no
864,2051,0.0,148,60,24,137.92,10/4/2019 8:15,no,no
865,9204,0.0,159,47,33,158.77,10/4/2019 16:00,no,no
868,2051,0.0,282,73,67,242.36,11/4/2019 15:00,no,no
871,9204,0.0,211,49,48,199.44,11/4/2019 23:00,no,no
872,9210,0.0,213,44,45,200.61,11/4/2019 23:00,no,yes
873,10102,0.0,148,54,25,140.35,11/4/2019 23:00,no,no
879,10103,0.0,169,29,34,163.92,15/4/2019 16:00,no,no
880,10103,0.0,206,37,40,203.07,15/4/2019 16:00,no,no
893,1889,1.0,326,199,45,295.43,16/4/2019 05:01,no,no
894,5254,1.0,2704,1731,355,2441.28,16/4/2019 05:01,no,no
895,7104,1.0,110,53,17,106.81,16/4/2019 05:01,no,no
948,1385,1.0,691,129,142,671.57,22/4/2019 23:00,no,yes
953,1889,1.0,360,201,52,318.26,23/4/2019 00:30,no,yes
954,5254,1.0,2987,1798,477,2881.18,23/4/2019 00:30,no,no
962,10102,1.0,348,159,68,335.5,23/4/2019 14:59,no,no
993,2105,1.0,222,54,39,204.3,23/4/2019 20:00,no,no
994,2105,1.0,416,145,73,401.8,23/4/2019 20:00,no,no
998,2115,1.0,191,59,37,190.36,24/4/2019 00:31,no,no
1012,2015,1.0,253,59,42,202.81,25/4/2019 20:30,no,no
1013,8214,1.0,237,64,48,231.96,25/4/2019 20:30,no,no
1014,5382,0.0,573,118,104,561.03,25/4/2019 17:00,no,no
1018,10102,1.0,275,87,58,261.1,26/4/2019 08:00,no,no
1021,1687,1.0,95,16,12,93.59,26/4/2019 13:00,no,no
1025,1366,0.0,12107,617,3013,7347.71,29/4/2019 10:00,no,no
1026,1366,0.0,6208,320,1549,3783.18,29/4/2019 10:00,no,no
1027,1366,0.0,23161,2464,5148,15574.3,29/4/2019 10:00,no,no
1028,1644,0.0,459,114,82,408.02,29/4/2019 10:00,no,no
1029,1255,1.0,204,20,49,184.34,29/4/2019 10:00,no,yes
1036,1687,1.0,117,32,19,112.73,29/4/2019 12:00,no,no
1037,1255,0.0,312,81,46,265.48,29/4/2019 13:00,no,no
1038,1644,0.0,635,158,122,582.37,29/4/2019 13:00,no,no
1039,2100,0.0,391,101,87,390.35,29/4/2019 13:00,no,no
1040,2100,0.0,1766,413,271,1427.16,29/4/2019 13:00,no,no
1042,1156,0.0,201,45,31,196.11,29/4/2019 15:00,no,no
1043,10102,0.0,159,38,30,153.94,29/4/2019 15:00,no,yes
1045,5411,0.0,88,24,10,86.18,29/4/2019 16:00,no,no
1057,1644,0.0,353,88,68,325.49,29/4/2019 19:00,no,no
1066,1245,0.0,418,125,71,409.81,30/4/2019 00:30,no,no
1070,1366,0.0,10105,1330,3678,8833.41,30/4/2019 08:00,no,no
1072,2100,0.0,109,33,14,99.13,30/4/2019 10:00,no,no
1073,10103,0.0,415,181,109,406.01,30/4/2019 11:00,no,no
1074,606,1.0,2066,207,435,1180.59,30/4/2019 11:00,no,no
1075,2105,1.0,243,104,47,235.42,30/4/2019 11:00,no,no
1076,10102,1.0,1025,477,203,882.86,30/4/2019 11:00,no,no
1077,10102,1.0,572,217,113,467.05,30/4/2019 11:00,no,no
1078,10103,1.0,541,134,127,465.79,30/4/2019 11:00,no,no
1079,10103,1.0,455,199,126,452,30/4/2019 11:00,no,no
1080,1639,0.0,1263,161,227,615.29,30/4/2019 11:00,no,no
1081,10102,0.0,391,160,93,369.97,30/4/2019 11:00,no,no
1082,10102,0.0,774,211,197,619.65,30/4/2019 11:00,no,no
1083,10102,0.0,520,189,123,434.34,30/4/2019 11:00,no,no
1084,2100,0.0,2092,1035,481,1963.06,30/4/2019 12:00,no,no
1085,10102,0.0,200,94,41,182.47,30/4/2019 12:00,no,no
1092,10103,1.0,230,37,47,204.2,30/4/2019 13:00,no,no
1093,2100,0.0,465,272,99,461.42,30/4/2019 13:00,no,no
1094,10103,0.0,465,197,122,434.11,30/4/2019 13:00,no,no
1095,10103,0.0,875,379,252,870.95,30/4/2019 13:00,no,no
1096,2111,1.0,259,43,53,248.14,30/4/2019 14:00,no,no
1097,2115,1.0,434,221,87,430.42,30/4/2019 14:00,no,no
1098,5411,1.0,225,147,38,222.8,30/4/2019 14:00,no,no
1099,10102,1.0,6029,3295,1246,5787.32,30/4/2019 14:00,no,no
1100,10103,1.0,4633,1818,1297,4413.14,30/4/2019 14:00,no,no
1101,10102,1.0,393,109,96,372.94,30/4/2019 15:00,no,no
1114,5393,1.0,71,29,6,69.33,30/4/2019 19:00,no,no
1115,8126,1.0,251,110,47,244.54,30/4/2019 19:00,no,no
1116,532,1.0,206,136,33,201.06,30/4/2019 20:00,no,no
1117,1139,1.0,339,231,48,326.82,30/4/2019 20:00,no,no
1118,1247,1.0,678,319,127,622.53,30/4/2019 20:00,no,no
1119,1356,1.0,430,267,73,422.74,30/4/2019 20:00,no,no
1120,1366,1.0,182,76,31,175.88,30/4/2019 20:00,no,no
1121,2105,1.0,356,142,78,333.35,30/4/2019 20:00,no,no
1122,2717,1.0,481,255,106,476.08,30/4/2019 20:00,no,no
1123,5238,1.0,453,235,79,439.19,30/4/2019 20:00,no,no
1124,9204,1.0,611,279,141,604.23,30/4/2019 20:00,no,no
1133,1644,0.0,321,75,88,315.28,1/5/2019 13:00,no,no
1134,2100,0.0,134,39,28,132.51,1/5/2019 13:00,no,no
1135,2100,0.0,2902,1141,799,2739.47,1/5/2019 15:00,no,no
1136,2104,0.0,91,36,12,87,1/5/2019 15:00,no,no
1137,1874,1.0,448,135,141,444.45,1/5/2019 15:00,no,no
1138,1247,0.0,397,267,65,396.67,1/5/2019 18:00,no,no
1139,1356,0.0,80,25,8,73.91,1/5/2019 18:00,no,no
1140,10103,0.0,558,191,164,531.89,1/5/2019 18:00,no,yes
1141,1247,1.0,671,342,139,657.52,1/5/2019 18:00,no,no
1142,2105,1.0,431,159,96,383.67,1/5/2019 18:00,no,no
1143,2111,1.0,1822,1120,302,1724.46,1/5/2019 18:00,no,no
1144,5382,1.0,304,202,50,301.39,1/5/2019 18:00,no,no
1145,5384,1.0,978,753,95,943.09,1/5/2019 18:00,no,no
1146,7880,1.0,389,169,79,388.75,1/5/2019 18:00,no,no
1147,10103,1.0,452,113,134,436.53,1/5/2019 18:00,no,yes
1148,10103,1.0,643,210,180,575.99,1/5/2019 18:00,no,yes
1149,1654,0.0,1021,537,196,912.24,2/5/2019 7:00,no,no
1152,2100,0.0,561,292,117,517.27,2/5/2019 12:00,no,no
1153,10103,0.0,1032,405,286,964.78,2/5/2019 12:00,no,no
1154,8215,1.0,526,264,109,500.45,2/5/2019 12:00,no,no
1155,8215,0.0,389,192,87,365.7,2/5/2019 13:00,no,no
1156,10103,0.0,548,210,145,492.42,2/5/2019 13:00,no,no
1157,606,1.0,4006,315,961,2420.31,2/5/2019 13:00,no,yes
1158,1356,1.0,463,284,79,442.42,2/5/2019 13:00,no,no
1159,1366,1.0,532,325,96,505.86,2/5/2019 13:00,no,no
1160,2115,1.0,481,253,102,474,2/5/2019 13:00,no,no
1162,5356,0.0,229,78,45,195.54,2/5/2019 14:00,no,no
1163,8215,0.0,131,33,21,112.29,2/5/2019 14:00,no,no
1164,10103,0.0,632,199,171,555.92,2/5/2019 14:00,no,no
1168,103,1.0,631,186,138,507.37,2/5/2019 14:00,no,no
1169,10102,1.0,512,193,122,484.77,2/5/2019 14:00,no,no
1170,10103,1.0,337,52,74,260.5,2/5/2019 14:00,no,no
1171,10103,1.0,539,189,127,523.82,2/5/2019 14:00,no,no
1173,103,1.0,541,223,132,488.02,2/5/2019 14:00,no,no
1174,103,1.0,2039,656,397,1449.21,2/5/2019 14:00,no,no
1175,103,1.0,1843,637,337,1310.36,2/5/2019 14:00,no,no
1176,103,1.0,15174,4952,2359,9669.82,2/5/2019 14:00,no,no
1177,1233,1.0,142,16,29,139.7,2/5/2019 14:00,no,no
1178,1233,1.0,1013,518,159,835.91,2/5/2019 14:00,no,no
1179,1366,1.0,260,83,44,212.31,2/5/2019 14:00,no,no
1180,1366,1.0,2208,1097,276,1649.13,2/5/2019 14:00,no,no
1181,1408,1.0,136,76,19,123.56,2/5/2019 14:00,no,no
1182,1665,1.0,281,53,61,227.94,2/5/2019 14:00,no,no
1183,5206,1.0,149,57,22,114.29,2/5/2019 14:00,no,no
1184,5356,1.0,645,351,130,609.98,2/5/2019 14:00,no,no
1185,7880,1.0,391,49,83,375.65,2/5/2019 14:00,no,no
1186,8135,1.0,172,41,27,118.49,2/5/2019 14:00,no,no
1187,8215,1.0,291,128,50,247.79,2/5/2019 14:00,no,no
1188,10103,1.0,696,144,193,626.12,2/5/2019 14:00,no,no
1189,10103,1.0,1664,497,513,1557.33,2/5/2019 14:00,no,no
1190,10103,1.0,750,227,210,655.07,2/5/2019 14:00,no,no
1191,10103,1.0,7323,2168,1963,6094.73,2/5/2019 14:00,no,no
1194,1225,0.0,427,277,74,424.99,2/5/2019 14:00,no,no
1195,5393,0.0,108,67,15,105.35,2/5/2019 14:00,no,no
1196,5411,0.0,96,52,13,93.2,2/5/2019 14:00,no,no
1197,6703,0.0,86,23,7,83.74,2/5/2019 14:00,no,no
1198,10103,0.0,4832,1774,1383,4540.06,2/5/2019 14:00,no,no
1199,103,1.0,159,16,38,157.47,2/5/2019 18:00,no,no
1200,103,1.0,302,33,79,282.18,2/5/2019 18:00,no,no
1201,103,1.0,222,23,54,206.39,2/5/2019 18:00,no,no
1202,1155,1.0,199,113,38,196.67,2/5/2019 18:00,no,no
1203,9219,1.0,370,121,78,346.95,2/5/2019 18:00,no,no
1204,10103,1.0,277,70,71,252.44,2/5/2019 18:00,no,no
1205,1139,0.0,175,105,28,165.17,2/5/2019 19:00,no,no
1206,1155,0.0,1998,1255,309,1873.32,2/5/2019 19:00,no,no
1207,1227,0.0,831,559,107,773.77,2/5/2019 19:00,no,no
1208,1233,0.0,573,365,66,496.73,2/5/2019 19:00,no,no
1209,1366,0.0,10834,1741,3888,9515.93,2/5/2019 19:00,no,no
1210,1385,0.0,253,149,45,238.83,2/5/2019 19:00,no,no
1211,1408,0.0,185,118,24,174.72,2/5/2019 19:00,no,no
1212,1874,0.0,817,429,175,778.34,2/5/2019 19:00,no,no
1213,2105,0.0,2826,1688,537,2762.04,2/5/2019 19:00,no,no
1214,2115,0.0,334,203,64,331.44,2/5/2019 19:00,no,no
1215,5104,0.0,118,63,19,113.97,2/5/2019 19:00,no,no
1216,5206,0.0,263,169,36,241.86,2/5/2019 19:00,no,no
1217,5356,0.0,107,43,16,103.98,2/5/2019 19:00,no,no
1218,5393,0.0,355,220,61,342.85,2/5/2019 19:00,no,no
1219,5394,0.0,174,108,31,173.37,2/5/2019 19:00,no,no
1220,5411,0.0,299,186,54,294.54,2/5/2019 19:00,no,no
1221,6434,0.0,259,100,42,233.78,2/5/2019 19:00,no,no
1222,8135,0.0,264,163,29,221.67,2/5/2019 19:00,no,no
1223,10102,0.0,249,108,61,237.76,2/5/2019 19:00,no,no
1224,10102,0.0,555,165,121,439.58,2/5/2019 19:00,no,no
1225,10102,0.0,1553,249,311,888.2,2/5/2019 19:00,no,no
1226,10102,0.0,844,209,179,573.99,2/5/2019 19:00,no,no
1227,1139,1.0,694,482,94,669.37,2/5/2019 19:00,no,no
1228,1225,1.0,591,351,118,588.22,2/5/2019 19:00,no,no
1229,2095,1.0,179,25,32,172.07,2/5/2019 19:00,no,no
1230,2105,1.0,1740,858,354,1627.58,2/5/2019 19:00,no,no
1231,5356,1.0,183,61,30,166.71,2/5/2019 19:00,no,no
1232,5393,1.0,115,59,15,102.3,2/5/2019 19:00,no,no
1233,8215,1.0,882,451,187,856.73,2/5/2019 19:00,no,no
1234,10102,1.0,761,247,169,622.16,2/5/2019 19:00,no,no
1235,10105,1.0,364,199,73,345.37,2/5/2019 19:00,no,no
1236,1546,0.0,274,52,50,242.77,3/5/2019 8:00,no,yes
1237,10102,0.0,323,122,76,278.49,3/5/2019 8:00,no,yes
1238,10102,0.0,923,202,194,621.28,3/5/2019 8:00,no,no
1239,10102,0.0,2169,329,497,1345.89,3/5/2019 8:00,no,no
1240,10102,0.0,782,240,221,683.37,3/5/2019 8:00,no,no
1241,10102,1.0,791,278,203,714.7,3/5/2019 8:00,no,no
1243,2100,0.0,627,310,150,599.14,3/5/2019 11:00,no,no
1244,1385,1.0,186,77,31,183.02,3/5/2019 12:00,no,no
1245,1546,1.0,250,167,41,243.18,3/5/2019 12:00,no,no
1246,2115,1.0,553,277,125,536.79,3/5/2019 13:00,no,no
1247,1546,0.0,4589,3437,545,4416.75,3/5/2019 13:00,no,no
1248,10103,0.0,1329,464,425,1298.88,3/5/2019 13:00,no,no
1250,5356,0.0,108,24,18,107.42,3/5/2019 15:00,no,no
1251,1139,1.0,701,488,103,693.1,3/5/2019 16:00,no,no
1252,1356,1.0,513,292,99,500.07,3/5/2019 16:00,no,no
1255,2131,1.0,301,119,57,267.96,4/5/2019 15:00,no,no
1256,2717,1.0,665,283,128,548.15,4/5/2019 15:00,no,no
1266,8126,1.0,487,69,116,439.29,5/5/2019 17:00,no,no
1267,5384,0.0,443,296,73,441.64,5/5/2019 20:00,no,no
1306,603,1.0,1323,80,351,1273.48,6/5/2019 15:00,no,no
1307,532,1.0,314,144,51,295.93,6/5/2019 15:00,no,no
1308,532,1.0,3708,1853,457,3223.04,6/5/2019 15:00,no,no
1309,603,1.0,1729,195,287,1056.06,6/5/2019 15:00,no,no
1310,603,1.0,3732,387,625,2262.29,6/5/2019 15:00,no,no
1311,603,1.0,1975,771,303,1679.74,6/5/2019 15:00,no,no
1312,603,1.0,21749,1800,3897,13490,6/5/2019 15:00,no,no
1313,1139,0.0,215,107,35,214.71,6/5/2019 17:00,no,no
1321,10103,0.0,2343,615,571,2306.98,7/5/2019 10:00,no,yes
1322,10103,0.0,1139,304,274,1126.48,7/5/2019 10:00,no,no
1323,10103,1.0,923,246,200,922.55,7/5/2019 11:00,no,no
1324,10103,1.0,2963,708,727,2912.94,7/5/2019 11:00,no,no
1325,10103,1.0,1316,338,317,1289.18,7/5/2019 11:00,no,no
1334,10103,0.0,951,243,232,938.28,7/5/2019 13:00,no,no
1345,10103,1.0,3124,356,601,2249.05,8/5/2019 11:00,no,no
1346,606,1.0,13102,1285,3697,12765.3,8/5/2019 11:00,no,no
1347,10103,1.0,2423,309,510,1972.09,8/5/2019 11:00,no,no
1348,10103,1.0,5504,904,1151,4387.96,8/5/2019 11:00,no,no
1349,10103,1.0,3131,448,603,2257.21,8/5/2019 11:00,no,no
1350,10103,1.0,26862,4367,5327,20206.1,8/5/2019 11:00,no,no
1351,10103,0.0,1239,133,281,1109.17,8/5/2019 11:00,no,no
1352,10103,0.0,8029,509,1417,4759.41,8/5/2019 11:00,no,no
1353,10103,0.0,15327,1078,2717,9229.81,8/5/2019 11:00,no,no
1354,10103,0.0,9055,606,1596,5394.37,8/5/2019 11:00,no,no
1355,10103,0.0,75117,4915,13052,43913.9,8/5/2019 11:00,no,no
1356,103,1.0,1051,225,225,943.02,8/5/2019 13:00,no,no
1357,1233,0.0,108,35,14,105.61,8/5/2019 14:00,no,no
1358,103,1.0,878,252,173,769.83,8/5/2019 14:00,no,no
1359,103,1.0,27837,6574,5587,23336.1,8/5/2019 14:00,no,no
1360,1665,1.0,677,87,157,624.93,8/5/2019 14:00,no,no
1361,5206,1.0,300,71,62,274.27,8/5/2019 14:00,no,no
1362,5382,1.0,418,218,65,411.86,8/5/2019 18:00,no,no
1426,5356,0.0,264,46,54,253.38,13/5/2019 04:00,no,yes
1427,5356,1.0,692,140,127,543.24,13/5/2019 04:00,no,yes
1431,5356,1.0,618,179,130,581.46,13/5/2019 06:00,no,no
1433,5356,1.0,440,92,95,436.96,13/5/2019 10:00,no,no
1434,5356,0.0,140,38,22,136.22,13/5/2019 13:00,no,no
1440,1156,0.0,4180,1354,609,3181.82,14/5/2019 00:30,no,yes
1450,8721,1.0,560,189,86,506.24,14/5/2019 11:00,no,no
1451,5448,1.0,723,119,149,701.35,14/5/2019 14:43,no,no
1453,5344,0.0,122,58,19,121.11,14/5/2019 13:00,no,no
1454,1155,0.0,241,49,43,212.29,14/5/2019 14:00,no,no
1455,1155,0.0,194,81,32,190.08,14/5/2019 14:00,no,no
1456,1155,0.0,126,23,16,125.57,14/5/2019 14:00,no,no
1457,1155,0.0,539,232,89,455.15,14/5/2019 14:00,no,no
1458,1225,0.0,221,54,37,208.65,14/5/2019 14:00,no,no
1459,1236,0.0,251,89,37,183.75,14/5/2019 14:00,no,no
1460,1245,0.0,720,353,137,696.51,14/5/2019 14:00,no,no
1461,1245,0.0,222,94,39,205.22,14/5/2019 14:00,no,no
1462,1245,0.0,217,99,29,176.28,14/5/2019 14:00,no,no
1463,1249,0.0,331,152,60,312.28,14/5/2019 14:00,no,no
1464,1249,0.0,309,155,60,306.47,14/5/2019 14:00,no,no
1465,1249,0.0,192,101,33,191.15,14/5/2019 14:00,no,no
1466,1249,0.0,281,135,50,264.32,14/5/2019 14:00,no,no
1467,5103,0.0,158,58,20,136.6,14/5/2019 14:00,no,no
1468,5103,0.0,253,128,40,232.21,14/5/2019 14:00,no,no
1469,5103,0.0,142,63,24,135.24,14/5/2019 14:00,no,no
1470,5103,0.0,378,176,63,333.42,14/5/2019 14:00,no,no
1471,5344,0.0,377,162,62,317.07,14/5/2019 14:00,no,no
1472,5344,0.0,1159,539,184,997.87,14/5/2019 14:00,no,no
1473,5344,0.0,824,383,133,714.31,14/5/2019 14:00,no,no
1474,5344,0.0,204,81,34,178.89,14/5/2019 14:00,no,no
1475,5344,0.0,292,173,47,290.16,14/5/2019 14:00,no,no
1476,6120,0.0,136,60,19,129.83,14/5/2019 14:00,no,no
1477,6120,0.0,360,191,55,329.14,14/5/2019 14:00,no,no
1478,7214,0.0,220,99,41,212.83,14/5/2019 14:00,no,no
1479,1155,0.0,310,174,57,286.97,14/5/2019 14:00,no,no
1480,1155,0.0,146,53,22,138.35,14/5/2019 14:00,no,no
1481,1249,0.0,1154,657,209,1075.75,14/5/2019 14:00,no,no
1482,1654,0.0,140,48,26,136.11,14/5/2019 14:00,no,no
1483,2092,0.0,144,15,33,139.89,14/5/2019 14:00,no,no
1484,2105,0.0,147,23,26,138.27,14/5/2019 14:00,no,no
1485,5103,0.0,109,44,16,105.09,14/5/2019 14:00,no,no
1486,5103,0.0,78,16,9,77.55,14/5/2019 14:00,no,no
1487,5103,0.0,106,46,15,101.88,14/5/2019 14:00,no,no
1488,5356,0.0,125,32,20,115.39,14/5/2019 14:00,no,no
1489,5393,0.0,75,17,7,71.51,14/5/2019 14:00,no,no
1490,6120,0.0,92,25,12,86.82,14/5/2019 14:00,no,no
1491,7214,0.0,297,176,58,292.65,14/5/2019 14:00,no,no
1492,7214,0.0,136,52,24,130.17,14/5/2019 14:00,no,no
1512,2104,0.0,412,164,74,392.79,18/5/2019 00:30,no,no
1527,5356,0.0,964,154,169,689.79,21/5/2019 11:00,no,no
1529,5356,1.0,2695,518,462,1888.41,21/5/2019 11:00,no,no
1597,2119,0.0,435,25,45,145,23/5/2019 13:00,no,yes
1598,2119,1.0,320,18,36,222,23/5/2019 13:00,no,no
1601,9204,0.0,186,62,39,181.66,23/5/2019 17:00,no,no
1602,1310,1.0,247,14,67,235.04,24/5/2019 07:00,no,no
1603,8122,1.0,104,19,24,91.76,24/5/2019 09:00,no,yes
1611,1665,0.0,136,37,27,128.38,24/5/2019 12:00,no,yes
1612,9204,1.0,120,42,24,113.75,24/5/2019 12:00,no,no
1631,9204,1.0,157,50,34,149.79,27/5/2019 09:00,no,no
1681,2115,1.0,319,192,43,315.84,28/5/2019 10:00,no,no
1682,9204,1.0,1319,548,224,1201.85,28/5/2019 10:00,no,no
1683,9210,1.0,351,101,69,304.1,28/5/2019 10:00,no,no
1684,10105,1.0,136,55,23,122.54,28/5/2019 10:00,no,no
1842,1310,1.0,1196,53,327,1114.57,29/5/2019 11:00,no,no
1894,5254,1.0,461,137,94,417.71,31/5/2019 08:00,no,no
1897,9210,1.0,300,101,63,287.1,31/5/2019 11:00,no,no
1898,5103,1.0,1220,608,191,1181.9,31/5/2019 13:00,no,no
1899,7214,1.0,166,58,32,152.69,31/5/2019 13:00,no,no
1900,5411,1.0,363,186,55,351.69,31/5/2019 16:00,no,no
